# slug,family,fr,aliases (semicolon-separated)
cheval,meat,cheval,viande de cheval
mouton,meat,mouton,agneau de pré-salé
faisan,bird,faisan,
poule,bird,poule,
chapon,bird,chapon,
autruche,bird,autruche,
pigeon,bird,pigeon,pigeonneau
chevreau,meat,chevreau,
volaille,bird,volaille,viande de volaille
lievre,meat,lièvre,
gibier-plumes,bird,gibier à plumes,
gibier-poil,meat,gibier à poil,
viande-grisons,steak,viande des Grisons,grisons
corned-beef,can,corned-beef,corned beef
viande-blanche,meat,viande blanche,
viande-rouge,steak,viande rouge,
abat,meat,abat,abats
foie,meat,foie,
gesier,meat,gésier,
museau,meat,museau de boeuf,museau de porc
oreille-de-porc,meat,oreille de porc,
pied-de-porc,meat,pied de porc,
sang,bowl,sang,
cervelle,meat,cervelle,
hache-volaille,meat,haché de volaille,hache de volaille
roti-volaille,bird,rôti de volaille,roti de volaille
paupiette-volaille,meat,paupiette de volaille,
brochette-volaille,meat,brochette de volaille,
brochette-mixte,meat,brochette mixte de viande,brochette mixte
brochette-crevettes,shrimp,brochette de crevettes,
yakitori,meat,yakitori,
hamburger,bun,hamburger,
cheeseburger,bun,cheeseburger,
double-cheeseburger,bun,double cheeseburger,
palette-diable,meat,palette à la diable,palette a la diable
andouillette,sausage,andouillette,
andouillette-troyes,sausage,andouillette de Troyes,
cervelas,sausage,cervelas,cervelas obernois
boudin,sausage,boudin,boudin antillais
diot,sausage,diot,diot cru
rosette,sausage,rosette,rosette ou fuseau;fuseau
galantine,slice,galantine,
fromage-de-tete,slice,fromage de tête,fromage de tete
saucisse-francfort,sausage,saucisse de Francfort,
saucisse-montbeliard,sausage,saucisse de Montbéliard,saucisse de Montbeliard
saucisse-strasbourg,sausage,saucisse de Strasbourg,knack de strasbourg
saucisse-cocktail,sausage,saucisse cocktail,
saucisse-alsacienne,sausage,saucisse alsacienne,gendarme
saucisse-fumee,sausage,saucisse fumée,saucisse fumee a cuire
saucisse-seche,sausage,saucisse sèche,saucisse seche
saucisse-foie,sausage,saucisse de foie,
saucisse-volaille,sausage,saucisse de volaille,
saucisse-vegetale,sausage,saucisse végétale,saucisse vegetale
saucisse-jambon,sausage,saucisse de jambon,
saucisse-biere,sausage,saucisse de bière,saucisse de biere
saucisse-viennoise,sausage,saucisse viennoise,
carrelet,fish,carrelet,plie;plie commune
mahi-mahi,fish,mahi-mahi,mahi mahi
mulet,fish,mulet,
rascasse,fish,rascasse,rascasse de profondeur
julienne-poisson,fish,julienne,lingue
vivaneau,fish,vivaneau,
roussette,fish,roussette,saumonette;petite roussette
morue,fish,morue,cabillaud salé
bogue,fish,bogue,
capelan,fish,capelan,
carangue,fish,carangue,
cardine,fish,cardine,cardine franche
chinchard,fish,chinchard,chinchard gras;chinchard maigre
corb,fish,corb,
coregone,fish,corégone,lavaret;coregone
coulirou,fish,coulirou,
dente,fish,denté,dente commun
empereur,fish,empereur,
esturgeon,fish,esturgeon,
grenadier,fish,grenadier,
hoki,fish,hoki,hoki de Nouvelle-Zélande
lingue-bleue,fish,lingue bleue,
lompe,fish,lompe,
loup-atlantique,fish,loup de l'Atlantique,loup tacheté
merou,fish,mérou,merou
omble-chevalier,fish,omble chevalier,
orphie,fish,orphie,orphie commune
requin,fish,requin,
sabre,fish,sabre,
saupe,fish,saupe,
tacaud,fish,tacaud,
eperlan,fish,éperlan,eperlan
breme,fish,brème,breme
pangas,fish,pangas,
joels,fish,joëls,joels
massissi,fish,massissi,
poisson-blanc,fish,poisson blanc,poisson cuit
poisson-pane,fish,poisson pané,poisson pane
accra-poisson,bowl,accra de poisson,accra
burger-poisson,bun,burger au poisson,
brochette-poisson,fish,brochette de poisson,
quenelle-poisson,oval,quenelle de poisson,
ecrevisse,shrimp,écrevisse,ecrevisse;ecrevisses
ormeau,shell,ormeau,
fruits-de-mer,shell,fruits de mer,
asiago,wedge,asiago,
chaource,wheel,chaource,
saint-nectaire,wheel,saint-nectaire,Saint-Nectaire
saint-marcellin,wheel,saint-marcellin,Saint-Marcellin
saint-felicien,wheel,saint-félicien,saint-felicien
neufchatel,heart,neufchâtel,neufchatel
morbier,wedge,morbier,
langres,wheel,langres,
fontina,wedge,fontina,
grana-padano,wedge,grana padano,Grana Padano
provolone,wedge,provolone,
fourme-montbrison,wheel,fourme de Montbrison,
tome-des-bauges,wheel,tome des Bauges,
tete-de-moine,wheel,tête de moine,tete de moine
carre-de-lest,cube,carré de l'Est,carre de l est
brousse,bowl,brousse,
brocciu,bowl,brocciu,brucciu
chabichou,oval,chabichou,
picodon,oval,picodon,
pelardon,oval,pélardon,pelardon
selles-sur-cher,pyramid,selles-sur-cher,
ossau-iraty,wedge,ossau-iraty,Ossau-Iraty
saint-paulin,wheel,saint-paulin,Saint-Paulin
maasdam,wedge,maasdam,
bleu-de-gex,wedge,bleu de Gex,bleu de Septmoncel
bleu-causses,wedge,bleu des Causses,
chevrot,oval,chevrot,
fromage-brebis,wedge,fromage de brebis,
fromage-chevre-buche,oval,fromage de chèvre,fromage de chevre;bûche de chèvre
tartiflette-fromage,wedge,fromage pour tartiflette,
fromage-pate-molle,wedge,fromage à pâte molle,fromage a pate molle
fromage-pate-pressee,wedge,fromage à pâte pressée,fromage a pate pressee
chayote,oval,chayote,christophine;chouchou
giraumon,squash,giraumon,
citrouille,squash,citrouille,
crosne,root,crosne,
moringa,leaf,moringa,
tetragone,leaf,tétragone,tetragone cornue
pissenlit,leaf,pissenlit,
scarole,leaf,scarole,
batavia,leaf,batavia,
haricot-plat,pod,haricot plat,
haricot-lima,pod,haricot de Lima,pois savon;pois du Cap
pois-angole,pod,pois d'Angole,pois d angole
dachine,root,dachine,
ti-nain,oval,ti nain,
kamanioc,root,kamanioc,
crudite,leaf,crudité,crudite
macedoine,bowl,macédoine de légumes,macedoine de legumes
julienne-legumes,bowl,julienne de légumes,brunoise de légumes
meloukhia,leaf,meloukhia,mloukhiya
luzerne,sprout,luzerne,graine germée de luzerne
anone,round,anone,chérimole;cherimole
feijoa,oval,feijoa,
chadeque,citrus,chadèque,chadeque
nefle,round,nèfle,nefle du Japon
ceriser,round,ceriser,
caimite,round,caïmite,pomme étoile
nashi,round,nashi,poire nashi
salak,oval,salak,fruit du serpent
sapote,round,sapote,
longane-alias,round,longan,
ugli,citrus,ugli,tangelo
mineola,citrus,minéola,mineola
combava,citrus,combava,citron kaffir
main-de-bouddha,citrus,main de bouddha,
sudachi,citrus,sudachi,
kabosu,citrus,kabosu,
pomme-gala,round,pomme gala,
pomme-pink-lady,round,pomme pink lady,pink lady
pomme-canada,round,pomme canada,
pomme-chantecler,round,pomme chantecler,
tomate-grappe,round,tomate grappe,
tomate-marmande,round,tomate marmande,
tomate-noire,round,tomate noire de Crimée,tomate noire
tomate-verte,round,tomate verte,
tomate-allongee,oval,tomate allongée,tomate allongee
tomate-provencale,round,tomate à la provençale,
ble-khorasan,grain,blé de Khorasan,kamut;ble khorasan
ble-dur-complet,grain,blé dur complet,ble dur
seigle-complet,grain,seigle complet,seigle
sorgho-complet,grain,sorgho complet,sorgho
mil-complet,grain,mil complet,mil
frik,grain,frik,
